name_atomx,name_storage
HCC_TMA006_section05_3ug_v132_07_01_2025_22_50_43_116,HCC_TMA006_section05_3ug_v132
HCC_TMA005_section11_3ug_v132_07_01_2025_22_49_15_796,HCC_TMA005_section11_3ug_v132
HCC_TMA005_section09_01ug_v132_07_01_2025_22_39_55_943,HCC_TMA005_section09_0.1ug_v132
HCC_TMA006_section03_01ug_v132_07_01_2025_22_39_30_265,HCC_TMA006_section03_0.1ug_v132
HCC_TMA009_section12_JL_1ug_v132_06_01_2025_22_05_07_243,HCC_TMA009_section12_JL_1ug_v132
HCC_TMA009_section14_JL_3ug_v132_06_01_2025_21_53_35_115,HCC_TMA009_section14_JL_3ug_v132
HCC_TMA001_section10_3ug_v132_07_01_2025_23_37_33_939,HCC_TMA001_section10_3ug_v132
HCC_TMA001_section09_1ug_v132_07_01_2025_22_30_47_739,HCC_TMA001_section09_1ug_v132
RCC_TMA541_section07_v132_06_01_2025_19_03_26_836,RCC_TMA541_section07_2ug_v132
RCC_TMA542_section5_07_01_2025_20_54_54_932,RCC_TMA542_section05_v132
RCC_TMA543_section5_07_01_2025_20_58_46_40,RCC_TMA543_section05_v132
RCC_TMA544_section5_07_01_2025_20_59_09_162,RCC_TMA544_section05_v132
RCC_TMA609_section5_07_01_2025_20_59_24_146,RCC_TMA609_section05_v132
AH_TMA001_section02_3ug_30min_v132_08_01_2025_0_36_36_602,AH_TMA001_section02_3ug_30min_v132
AH_TMA001_section01_2ug_20min_v132_08_01_2025_0_36_24_760,AH_TMA001_section01_2ug_20min_v132
AIH_TMA001_section05_v132_07_01_2025_21_01_17_587,AIH_TMA001_section05_v132
